value,confidence,x1,y1,x2,y2,tile_id,word_idx
6,0.9999982118606567,0.6533474392361112,0.1068115234375,0.6574164496527778,0.1153564453125,6,0
G,0.999996542930603,0.2593315972222222,0.7729085286458334,0.2640787760416667,0.78125,42,1
@,0.9999964237213135,0.322265625,0.6339518229166666,0.3245713975694444,0.638427734375,33,2
S,0.9999960660934448,0.13685438368055555,0.1361083984375,0.1388888888888889,0.14119466145833334,0,3
@,0.9999932050704956,0.3218587239583333,0.4777018229166667,0.3251139322916667,0.4829915364583333,23,4
@,0.9999905824661255,0.3221299913194444,0.4254150390625,0.3248426649305556,0.4298909505208333,23,5
C,0.9999879598617554,0.2593315972222222,0.4182942708333333,0.2640787760416667,0.4270426432291667,22,6
@,0.9999878406524658,0.322265625,0.3474934895833333,0.3248426649305556,0.3515625,13,7
4,0.9999876022338867,0.657958984375,0.4872639973958333,0.6597222222222222,0.4913330078125,26,8
4,0.9999845027923584,0.6279839409722222,0.6431070963541666,0.6298828125,0.6463623046875,35,9
8,0.9999774694442749,0.6022135416666666,0.76171875,0.6041124131944444,0.7657877604166666,45,10
5,0.9999760389328003,0.5973307291666666,0.10640462239583333,0.601806640625,0.11555989583333333,5,11
A,0.9999759197235107,0.1373969184027778,0.11494954427083333,0.1388888888888889,0.11942545572916667,0,12
3,0.9999752044677734,0.513916015625,0.106201171875,0.5185275607638888,0.11555989583333333,4,13
5.5,0.9999750852584839,0.3758409288194444,0.2927652994791667,0.3815375434027778,0.2984619140625,13,14
PIPE,0.9999591112136841,0.07066514756944445,0.14322916666666666,0.07826063368055555,0.14872233072916666,0,15
2,0.9999524354934692,0.557861328125,0.4868570963541667,0.560302734375,0.491943359375,25,16
4.11.2017,0.9999505281448364,0.9132215711805556,0.6447347005208334,0.9262424045138888,0.6486002604166666,48,17
4,0.999946117401123,0.6277126736111112,0.76171875,0.6297471788194444,0.765380859375,45,18
1,0.9999399185180664,0.4672580295138889,0.6424967447916666,0.4680718315972222,0.6441243489583334,34,19
ARE,0.9999376535415649,0.12559678819444445,0.17476399739583334,0.1321072048611111,0.18025716145833334,10,20
4,0.9999345541000366,0.5647786458333334,0.10762532552083333,0.5684407552083334,0.11372884114583333,5,21
53,0.999933123588562,0.655517578125,0.12736002604166666,0.6597222222222222,0.13387044270833334,5,22
2,0.9999282360076904,0.4117838541666667,0.10640462239583333,0.416259765625,0.11576334635416667,3,23
S,0.999923825263977,0.9281412760416666,0.9342447916666666,0.9375,0.9515380859375,58,24
OR,0.9999181032180786,0.06795247395833333,0.0897216796875,0.07310655381944445,0.09562174479166667,0,25
TO,0.9999163150787354,0.15665690104166666,0.16743977864583334,0.16099717881944445,0.17293294270833334,1,26
DO,0.9999128580093384,0.05221896701388889,0.11433919270833333,0.05710177951388889,0.11962890625,0,27
OR,0.999911904335022,0.1174587673611111,0.11433919270833333,0.12220594618055555,0.11962890625,1,28
+,0.9999099969863892,0.7522243923611112,0.7330322265625,0.7530381944444444,0.7344563802083334,46,29
1,0.9999076128005981,0.3548177083333333,0.107421875,0.3571234809027778,0.11372884114583333,3,30
SHALL,0.999907374382019,0.14906141493055555,0.1922607421875,0.1589626736111111,0.19694010416666666,11,31
SHALL,0.9999071359634399,0.11949327256944445,0.1849365234375,0.12925889756944445,0.18961588541666666,11,32
NOT,0.9999065399169922,0.059271918402777776,0.11454264322916667,0.06578233506944445,0.11942545572916667,0,33
"DUCTS,",0.9999034404754639,0.16153971354166666,0.13631184895833334,0.17293294270833334,0.1416015625,1,34
BANDED,0.9999004602432251,0.7760959201388888,0.5891927083333334,0.7888454861111112,0.5942789713541666,37,35
OR,0.9998971223831177,0.06388346354166667,0.1434326171875,0.06876627604166667,0.14851888020833334,0,36
(15),0.9998959302902222,0.4813639322916667,0.7840983072916666,0.4888237847222222,0.7916259765625,44,37
BARS,0.9998934268951416,0.10999891493055555,0.10457356770833333,0.11854383680555555,0.10986328125,0,38
IS,0.9998912811279297,0.09114583333333333,0.1287841796875,0.09440104166666667,0.13407389322916666,0,39
SHEET,0.99988853931427,0.9130859375,0.9055582682291666,0.9231228298611112,0.9100341796875,58,40
SHALL,0.9998853206634521,0.10850694444444445,0.22379557291666666,0.11827256944444445,0.22847493489583334,10,41
A,0.999884843826294,0.2590603298611111,0.206298828125,0.2646213107638889,0.21565755208333334,12,42
4,0.9998819828033447,0.6281195746527778,0.7080078125,0.6298828125,0.7114664713541666,45,43
F,0.9998788833618164,0.2601453993055556,0.7537841796875,0.2635362413194444,0.76171875,42,44
A.,0.9998781681060791,0.9432508680555556,0.2604166666666667,0.9478624131944444,0.2667236328125,19,45
FOR,0.9998757839202881,0.1137966579861111,0.07283528645833333,0.12030707465277778,0.07832845052083333,1,46
THE,0.9998733997344971,0.16438802083333334,0.11454264322916667,0.17076280381944445,0.11942545572916667,1,47
SEE,0.9998712539672852,0.05235460069444445,0.21341959635416666,0.05886501736111111,0.21891276041666666,10,48
THE,0.9998655319213867,0.13427734375,0.06306966145833333,0.1406521267361111,0.06856282552083333,1,49
1:6.,0.999862551689148,0.17374674479166666,0.18473307291666666,0.1797146267361111,0.1898193359375,11,50
TH,0.999862551689148,0.13427734375,0.06306966145833333,0.1388888888888889,0.06856282552083333,0,51
AT,0.9998542070388794,0.0991482204861111,0.16764322916666666,0.1034884982638889,0.17293294270833334,10,52
SCREW,0.9998515844345093,0.12451171875,0.11474609375,0.1352267795138889,0.11922200520833333,1,53
MILD,0.9998394250869751,0.1437717013888889,0.22359212239583334,0.15096028645833334,0.22847493489583334,11,54
NOT,0.9998370409011841,0.09657118055555555,0.12898763020833334,0.10308159722222222,0.13387044270833334,0,55
IS,0.9998252987861633,0.08409288194444445,0.07303873697916667,0.08734809027777778,0.078125,0,56
(9),0.9998225569725037,0.3261990017361111,0.7366943359375,0.3314887152777778,0.7444254557291666,42,57
OR,0.9998210072517395,0.14933268229166666,0.09724934895833333,0.1540798611111111,0.1025390625,1,58
SHALL,0.9998119473457336,0.13712565104166666,0.13651529947916666,0.1470269097222222,0.14119466145833334,1,59
(4),0.9998090863227844,0.3689236111111111,0.7430013020833334,0.3740776909722222,0.7505289713541666,43,60
1,0.9998000264167786,0.4665798611111111,0.4868570963541667,0.4673936631944444,0.4884847005208333,34,61
OF,0.999799907207489,0.068359375,0.16743977864583334,0.0729709201388889,0.17293294270833334,10,62
SCALE:,0.999795138835907,0.4401312934027778,0.9486083984375,0.4511176215277778,0.9538981119791666,63,63
POST,0.9997900128364563,0.13102213541666666,0.1214599609375,0.1388888888888889,0.126953125,0,64
D,0.9997885823249817,0.2596028645833333,0.5517578125,0.2643500434027778,0.5598958333333334,32,65
A,0.9997879862785339,0.184326171875,0.1605224609375,0.186767578125,0.1654052734375,1,66
T,0.9997825026512146,0.1369900173611111,0.15055338541666666,0.1388888888888889,0.1556396484375,0,67
2,0.9997794032096863,0.5579969618055556,0.4345703125,0.5601671006944444,0.439453125,25,68
GREATER,0.9997774958610535,0.05276150173611111,0.09765625,0.06659613715277778,0.10213216145833333,0,69
WITH,0.999769389629364,0.0698513454861111,0.1922607421875,0.0771755642361111,0.19694010416666666,10,70
SWEEP,0.9997637867927551,0.074462890625,0.18473307291666666,0.08531358506944445,0.19002278645833334,0,71
4,0.9997565150260925,0.55908203125,0.7082112630208334,0.5608452690972222,0.7114664713541666,45,72
(3),0.9997370839118958,0.3188747829861111,0.4697672526041667,0.3240288628472222,0.4774983723958333,22,73
WITH,0.9997337460517883,0.12464735243055555,0.06306966145833333,0.1323784722222222,0.068359375,1,74
BAR,0.9997212290763855,0.0857204861111111,0.22359212239583334,0.09195963541666667,0.22847493489583334,10,75
"SUPPORTS,",0.9997177720069885,0.08043077256944445,0.14363606770833334,0.09833441840277778,0.14872233072916666,0,76
TENDONS,0.9997158646583557,0.7689073350694444,0.5954996744791666,0.7839626736111112,0.6005859375,37,77
SHALL,0.9997113347053528,0.0876193576388889,0.23356119791666666,0.09752061631944445,0.23824055989583334,10,78
OF,0.9997102618217468,0.16845703125,0.07283528645833333,0.17320421006944445,0.07832845052083333,1,79
P-T,0.9997075200080872,0.9326171875,0.8734130859375,0.9426540798611112,0.8821614583333334,58,80
BE,0.9997065663337708,0.12044270833333333,0.223388671875,0.12491861979166667,0.22867838541666666,10,81
BANDED,0.9996973276138306,0.3868272569444444,0.7859293619791666,0.399169921875,0.7904052734375,43,82
THE,0.9996944665908813,0.13712565104166666,0.1507568359375,0.14322916666666666,0.1556396484375,1,83
WALL,0.9996918439865112,0.15611436631944445,0.09765625,0.1642523871527778,0.10233561197916667,1,84
T,0.999688982963562,0.10416666666666667,0.223388671875,0.1064724392361111,0.22867838541666666,11,85
MILD,0.9996780157089233,0.05235460069444445,0.223388671875,0.05995008680555555,0.22867838541666666,10,86
ALL,0.9996728897094727,0.17469618055555555,0.07283528645833333,0.18107096354166666,0.07832845052083333,1,87
FOR,0.9996663331985474,0.052490234375,0.1605224609375,0.05886501736111111,0.1654052734375,10,88
THE,0.9996629953384399,0.1352267795138889,0.22359212239583334,0.14146592881944445,0.22847493489583334,11,89
6.,0.9996564388275146,0.044623480902777776,0.1605224609375,0.048014322916666664,0.16581217447916666,10,90
BY:,0.999649167060852,0.9250217013888888,0.6195068359375,0.9300401475694444,0.6243896484375,38,91
(3),0.9996428489685059,0.3188747829861111,0.5476888020833334,0.3240288628472222,0.5552164713541666,32,92
(8),0.9996321201324463,0.7122124565972222,0.7840983072916666,0.7175021701388888,0.7918294270833334,46,93
ALL,0.9996223449707031,0.1276312934027778,0.12898763020833334,0.1335991753472222,0.13407389322916666,1,94
"CHASES,",0.9996119141578674,0.1752387152777778,0.13631184895833334,0.18880208333333334,0.14139811197916666,1,95
RAD,0.9996076226234436,0.9460991753472222,0.6280517578125,0.9524739583333334,0.6327311197916666,49,96
(2),0.9996008276939392,0.07500542534722222,0.167236328125,0.08002387152777778,0.1739501953125,0,97
TH,0.9995834231376648,0.1352267795138889,0.22318522135416666,0.1388888888888889,0.2288818359375,10,98
(4),0.9995681643486023,0.3187391493055556,0.6258138020833334,0.3238932291666667,0.633544921875,33,99
EOR,0.99955815076828,0.06103515625,0.19938151041666666,0.06754557291666667,0.20426432291666666,0,100
THE,0.9995430707931519,0.052490234375,0.07283528645833333,0.059000651041666664,0.07832845052083333,0,101
7.,0.9995421171188354,0.044487847222222224,0.184326171875,0.04855685763888889,0.1904296875,0,102
BY:,0.9995352029800415,0.9293619791666666,0.6280517578125,0.9343804253472222,0.6329345703125,48,103
BE,0.9995294809341431,0.13997395833333334,0.18473307291666666,0.14444986979166666,0.19002278645833334,11,104
(7),0.9995294809341431,0.3188747829861111,0.2752685546875,0.3240288628472222,0.2827962239583333,12,105
BANDED,0.9995254278182983,0.6357150607638888,0.3877766927083333,0.6484646267361112,0.3928629557291667,26,106
PRIOR,0.999524712562561,0.052490234375,0.206298828125,0.062255859375,0.21158854166666666,10,107
OF,0.9995150566101074,0.08734809027777778,0.18473307291666666,0.09195963541666667,0.19002278645833334,0,108
PRIOR,0.9995123147964478,0.1025390625,0.1507568359375,0.1120334201388889,0.15543619791666666,0,109
19,0.9995002746582031,0.3851996527777778,0.2927652994791667,0.3898111979166667,0.299072265625,13,110
TENDONS,0.9994974136352539,0.6277126736111112,0.7914225260416666,0.6429036458333334,0.7965087890625,55,111
BEFORE,0.9994841814041138,0.07880316840277778,0.17496744791666666,0.09141710069444445,0.1800537109375,10,112
B,0.9994747042655945,0.9379611545138888,0.262451171875,0.9405381944444444,0.2667236328125,19,113
(10),0.9994658827781677,0.6206597222222222,0.7840983072916666,0.6279839409722222,0.7916259765625,55,114
5.,0.9994539618492126,0.044352213541666664,0.11393229166666667,0.048421223958333336,0.12003580729166667,0,115
STRESS,0.9994181394577026,0.17008463541666666,0.1605224609375,0.1824273003472222,0.16560872395833334,1,116
SLAB,0.9994100332260132,0.1052517361111111,0.16764322916666666,0.11338975694444445,0.17293294270833334,0,117
4.,0.9993904829025269,0.044487847222222224,0.0897216796875,0.048421223958333336,0.09562174479166667,0,118
UPI,0.9993709921836853,0.4402669270833333,0.9307861328125,0.4513888888888889,0.9409586588541666,53,119
SYSTEMS,0.9993405938148499,0.152587890625,0.12898763020833334,0.1669650607638889,0.13407389322916666,1,120
SUBMITTAL,0.9993239641189575,0.9478081597222222,0.64453125,0.9646267361111112,0.6488037109375,48,121
AND,0.9993150234222412,0.10918511284722222,0.19938151041666666,0.11583116319444445,0.20426432291666666,1,122
SEAL:,0.9992660880088806,0.9129503038194444,0.24149576822916666,0.9214952256944444,0.2459716796875,18,123
"LIST,",0.9992546439170837,0.17130533854166666,0.046183268229166664,0.1787651909722222,0.051676432291666664,1,124
4,0.9992508292198181,0.5958387586805556,0.6182861328125,0.5988226996527778,0.6217447916666666,35,125
INTO,0.9992266893386841,0.15516493055555555,0.11454264322916667,0.162353515625,0.11942545572916667,1,126
THE,0.9992163181304932,0.12220594618055555,0.07283528645833333,0.1287163628472222,0.07832845052083333,0,127
ETC.),0.999211311340332,0.12613932291666666,0.135498046875,0.1348198784722222,0.142822265625,0,128
SHEET,0.9992064833641052,0.9130859375,0.830078125,0.9231228298611112,0.8345540364583334,58,129
THE,0.9992042183876038,0.0937228732638889,0.18452962239583334,0.10023328993055555,0.19002278645833334,10,130
THE,0.9992042183876038,0.12261284722222222,0.1214599609375,0.1291232638888889,0.126953125,0,131
RIOR,0.999123752117157,0.10443793402777778,0.15055338541666666,0.1123046875,0.15584309895833334,1,132
1.,0.9991220831871033,0.04421657986111111,0.045572916666666664,0.048149956597222224,0.051676432291666664,0,133
PLACE,0.9991040825843811,0.14933268229166666,0.13651529947916666,0.15909830729166666,0.14119466145833334,1,134
SLAB,0.9990911483764648,0.09209526909722222,0.15055338541666666,0.10009765625,0.15584309895833334,0,135
(4),0.9990625977516174,0.3187391493055556,0.3391520182291667,0.3237575954861111,0.3468831380208333,13,136
GREATER,0.9990577101707458,0.11474609375,0.19205729166666666,0.1288519965277778,0.1971435546875,0,137
GREATER,0.9990493655204773,0.15489366319444445,0.20670572916666666,0.1687282986111111,0.211181640625,11,138
TENDONS,0.999040424823761,0.3759765625,0.7440185546875,0.3910319010416667,0.7491048177083334,43,139
TENDONS,0.9989805817604065,0.325927734375,0.4709879557291667,0.3408474392361111,0.4754638671875,33,140
A,0.9989659786224365,0.1340060763888889,0.20670572916666666,0.1357693142361111,0.20833333333333334,0,141
"SEQUENCE,",0.9989540576934814,0.09602864583333333,0.16072591145833334,0.11406792534722222,0.16581217447916666,0,142
DATE:,0.9989527463912964,0.9130859375,0.6365966796875,0.9217664930555556,0.6410725911458334,38,143
ANY,0.9989126920700073,0.10552300347222222,0.09745279947916667,0.11216905381944445,0.10233561197916667,1,144
TENDONS,0.9988834261894226,0.3843858506944444,0.7924397786458334,0.3993055555555556,0.7969156901041666,43,145
WITHOUT,0.9988695979118347,0.17252604166666666,0.12186686197916667,0.1860894097222222,0.1263427734375,1,146
COLUMN,0.9988641738891602,0.13387044270833334,0.09765625,0.1470269097222222,0.10213216145833333,1,147
THAN,0.9988478422164917,0.1308865017361111,0.19185384114583334,0.1388888888888889,0.19734700520833334,0,148
PER,0.9988242983818054,0.12681749131944445,0.223388671875,0.13346354166666666,0.2288818359375,10,149
FLOOR,0.9988210797309875,0.46630859375,0.9318033854166666,0.489501953125,0.93994140625,54,150
/,0.9988106489181519,0.5585394965277778,0.4878743489583333,0.5597601996527778,0.4901123046875,35,151
TENDON,0.9988052845001221,0.05262586805555555,0.2337646484375,0.06537543402777778,0.23824055989583334,10,152
BANDED,0.9987881779670715,0.3337944878472222,0.7381184895833334,0.3462727864583333,0.7425944010416666,43,153
4,0.9987351298332214,0.5954318576388888,0.3997802734375,0.5978732638888888,0.4024251302083333,25,154
X.1,0.9987302422523499,0.4683430989583333,0.16072591145833334,0.4791937934027778,0.17130533854166666,4,155
